Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2, C3",0402,4,10uF,
"C10, C9",0402,2,20pF,
"C11, C13, C15, C17, C18, C21, C22, C23, C4, C5, C6, C7",0402,12,100nF,
C12,0402,1,10nF,
"C14, C19, C20",0402,3,1uF,
C8,0402,1,4.7uF,
D1,0402,1,LED_Blue,
F1,0603,1,Polyfuse_Small,
FB1,0603,1,220R @ 100MHz,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Conn_01x02_Pin,
"R1, R2, R8, R9",0402,4,5.1kR,
"R3, R4",0402,2,22R,
R5,0402,1,47kR,
R6,0402,1,100R,
R7,0402,1,8MR,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32U535CBTx,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-23,1,TPS7A0533PDBZ,
U4,SOT-583-8,1,TPS2116DRL,
U5,Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm,1,INA234AxYBJ,
U6,QFN10_BMP581_BOS,1,BMP581,
U7,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,
U8,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL375,
U9,LGA-14L_STM-L,1,LSM6DSV16X,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
